No.,Time,Source,Destination,Protocol,Length,Info,Class
1,0,Local,CDN,TCP,54,ACK,browsing
2,0.000231,CDN,Local,TCP,60,TCP ACKed unseen segment,browsing
3,0.255982,Local,CDN,TCP,54,ACK,browsing
4,0.25634,CDN,Local,TCP,60,TCP ACKed unseen segment,browsing
5,1.28005,Local,117.18.237.29,TCP,54,ACK,Unknown
6,1.280086,Local,Amazon,TCP,54,ACK,browsing
7,1.280087,Local,Static,TCP,54,ACK,browsing
8,1.280344,117.18.237.29,Local,TCP,60,TCP ACKed unseen segment,Unknown
9,1.280344,CDN,Local,TCP,60,TCP ACKed unseen segment,browsing
10,1.280344,Static,Local,TCP,60,TCP ACKed unseen segment,browsing
11,1.536015,Local,117.18.237.29,TCP,54,ACK,Unknown
12,1.536054,Local,CDN,TCP,54,ACK,browsing
13,1.536055,Local,CDN,TCP,54,ACK,browsing
14,1.536361,117.18.237.29,Local,TCP,60,TCP ACKed unseen segment,Unknown
15,1.536361,CDN,Local,TCP,60,TCP ACKed unseen segment,browsing
16,1.536362,CDN,Local,TCP,60,TCP ACKed unseen segment,browsing
17,2.560054,Local,CDN,TCP,54,ACK,browsing
18,2.560456,CDN,Local,TCP,60,TCP ACKed unseen segment,browsing
19,2.757477,Local,Amazon,TCP,54,ACK,browsing
20,2.757852,CDN,Local,TCP,60,TCP ACKed unseen segment,browsing
21,3.840217,Local,CDN,TCP,54,ACK,browsing
22,3.840462,CDN,Local,TCP,60,TCP ACKed unseen segment,browsing
23,4.607985,Local,117.18.237.29,TCP,54,ACK,Unknown
24,4.608031,Local,CDN,TCP,54,ACK,browsing
25,4.608033,Local,CDN,TCP,54,ACK,browsing
26,4.608034,Local,Amazon,TCP,54,ACK,browsing
27,4.608305,117.18.237.29,Local,TCP,60,TCP ACKed unseen segment,Unknown
28,4.608305,CDN,Local,TCP,60,TCP ACKed unseen segment,browsing
29,4.608305,CDN,Local,TCP,60,TCP ACKed unseen segment,browsing
30,4.608305,CDN,Local,TCP,60,TCP ACKed unseen segment,browsing
31,4.863988,Local,CDN,TCP,54,ACK,browsing
32,4.864356,CDN,Local,TCP,60,TCP ACKed unseen segment,browsing
37,6.236621,Local,Google,TCP,74,ACK,browsing
38,6.241485,Google,Local,TCP,60,ACK,browsing
39,6.241546,Local,Google,TCP,54,ACK,browsing
41,6.24622,Google,Local,TCP,60,ACK,browsing
43,6.251406,Local,Google,TCP,54,ACK,browsing
44,6.25624,Local,Static,TCP,74,ACK,browsing
45,6.261519,Static,Local,TCP,60,ACK,browsing
46,6.261557,Local,Static,TCP,54,ACK,browsing
48,6.261956,Static,Local,TCP,60,ACK,browsing
50,6.267522,Local,Static,TCP,54,ACK,browsing
52,6.270504,Google,Local,TCP,60,ACK,browsing
54,6.271199,Google,Local,TCP,60,ACK,browsing
56,6.271405,Google,Local,TCP,60,ACK,browsing
58,6.276595,Local,Google,TCP,54,ACK,browsing
60,6.277194,Google,Local,TCP,60,ACK,browsing
62,6.277597,Local,Google,TCP,54,ACK,browsing
64,6.301341,Local,Google,TCP,54,ACK,browsing
66,6.30458,Local,Google,TCP,54,ACK,browsing
68,6.304623,Local,Google,TCP,54,ACK,browsing
70,6.305185,Google,Local,TCP,60,ACK,browsing
72,6.925019,Google,Local,TCP,60,ACK,browsing
77,6.952246,Local,Google,TCP,54,ACK,browsing
79,6.952377,Google,Local,TCP,60,ACK,browsing
81,7.021706,Google,Local,TCP,60,ACK,browsing
85,7.058339,Local,Google,TCP,54,ACK,browsing
87,7.058514,Local,Google,TCP,54,ACK,browsing
89,7.058694,Google,Local,TCP,60,ACK,browsing
91,7.203177,Google,Local,TCP,60,ACK,browsing
94,7.254774,Local,Google,TCP,54,ACK,browsing
97,7.254981,Local,Google,TCP,54,ACK,browsing
99,7.255198,Google,Local,TCP,60,ACK,browsing
